,Date,Portfolio_Value,Cash,Exposure,Total_Shares,Price
220,2015-11-13,107214.3969335556,107214.3969335556,0.0,0,18.56094741821289
221,2015-11-16,107214.3969335556,107214.3969335556,0.0,0,19.405874252319336
222,2015-11-17,107214.3969335556,107214.3969335556,0.0,0,19.341588973999023
223,2015-11-18,107214.3969335556,107214.3969335556,0.0,0,20.262290954589844
224,2015-11-19,107214.3969335556,107214.3969335556,0.0,0,20.207189559936523
225,2015-11-20,107214.3969335556,107214.3969335556,0.0,0,20.457448959350586
226,2015-11-23,107214.3969335556,107214.3969335556,0.0,0,20.351837158203125
227,2015-11-24,107214.3969335556,107214.3969335556,0.0,0,20.443674087524414
228,2015-11-25,107214.3969335556,107214.3969335556,0.0,0,20.43219566345215
229,2015-11-27,107214.3969335556,107214.3969335556,0.0,0,20.505666732788086
230,2015-11-30,107214.3969335556,107214.3969335556,0.0,0,20.24162483215332
231,2015-12-01,107214.3969335556,107214.3969335556,0.0,0,20.83399772644043
232,2015-12-02,107214.3969335556,107214.3969335556,0.0,0,20.17275047302246
233,2015-12-03,107214.3969335556,107214.3969335556,0.0,0,19.32781410217285
234,2015-12-04,107214.3969335556,107214.3969335556,0.0,0,20.44597625732422
235,2015-12-07,107214.3969335556,107214.3969335556,0.0,0,20.062532424926758
236,2015-12-08,107214.3969335556,107214.3969335556,0.0,0,19.603334426879883
237,2015-12-09,107214.3969335556,107214.3969335556,0.0,0,19.233675003051758
238,2015-12-10,107214.3969335556,107214.3969335556,0.0,0,19.36454963684082
239,2015-12-11,107214.3969335556,107214.3969335556,0.0,0,18.239505767822266
240,2015-12-14,107214.3969335556,107214.3969335556,0.0,0,18.540281295776367
241,2015-12-15,107214.3969335556,107214.3969335556,0.0,0,19.0936222076416
242,2015-12-16,107214.3969335556,107214.3969335556,0.0,0,19.90870475769043
243,2015-12-17,107214.3969335556,107214.3969335556,0.0,0,19.02933120727539
244,2015-12-18,107214.3969335556,107214.3969335556,0.0,0,17.94331932067871
245,2015-12-21,107214.3969335556,107214.3969335556,0.0,0,18.436962127685547
246,2015-12-22,107214.3969335556,107214.3969335556,0.0,0,18.93749237060547
247,2015-12-23,107214.3969335556,107214.3969335556,0.0,0,19.624004364013672
248,2015-12-24,107214.3969335556,107214.3969335556,0.0,0,19.516088485717773
249,2015-12-28,107214.3969335556,107214.3969335556,0.0,0,19.38980484008789
250,2015-12-29,107214.3969335556,107214.3969335556,0.0,0,20.028099060058594
251,2015-12-30,107214.3969335556,107214.3969335556,0.0,0,19.603334426879883
252,2015-12-31,107214.3969335556,107214.3969335556,0.0,0,19.02933120727539
253,2016-01-04,107214.3969335556,107214.3969335556,0.0,0,18.195877075195312
254,2016-01-05,107214.3969335556,107214.3969335556,0.0,0,18.31756591796875
255,2016-01-06,107214.3969335556,107214.3969335556,0.0,0,17.58973503112793
256,2016-01-07,107214.3969335556,87221.80783748627,0.19992589096069335,1224,16.33381462097168
257,2016-01-08,106556.78712368011,87221.80783748627,0.19992589096069335,1224,15.796551704406738
258,2016-01-11,106568.02352809906,87221.80783748627,0.19992589096069335,1224,15.805731773376465
259,2016-01-12,107062.63893795013,87221.80783748627,0.19992589096069335,1224,16.209829330444336
260,2016-01-13,105604.08804225922,72233.64146137238,0.3498075547218323,2222,15.018202781677246
261,2016-01-14,107160.11274242401,72233.64146137238,0.3498075547218323,2222,15.718483924865723
262,2016-01-15,104940.86328792572,72233.64146137238,0.3498075547218323,2222,14.719721794128418
263,2016-01-19,105078.61306476593,72233.64146137238,0.3498075547218323,2222,14.781715393066406
264,2016-01-20,103905.21085834503,72233.64146137238,0.3498075547218323,2222,14.253631591796875
265,2016-01-21,104292.94029712677,72233.64146137238,0.3498075547218323,2222,14.42812728881836
266,2016-01-22,106272.41974163055,72233.64146137238,0.3498075547218323,2222,15.318982124328613
267,2016-01-25,104726.58985996246,72233.64146137238,0.3498075547218323,2222,14.623289108276367
268,2016-01-26,106053.04148769379,72233.64146137238,0.3498075547218323,2222,15.22025203704834
269,2016-01-27,104951.06870174408,72233.64146137238,0.3498075547218323,2222,14.72431468963623
270,2016-01-28,105481.64426708221,72233.64146137238,0.3498075547218323,2222,14.96309757232666
271,2016-01-29,107889.66209125519,72233.64146137238,0.3498075547218323,2222,16.04681396484375
272,2016-02-01,107904.97445011139,72233.64146137238,0.3498075547218323,2222,16.0537052154541
273,2016-02-02,105956.10700893402,72233.64146137238,0.3498075547218323,2222,15.176627159118652
274,2016-02-03,106501.9906949997,72233.64146137238,0.3498075547218323,2222,15.4222993850708
275,2016-02-04,106680.55153179169,72233.64146137238,0.3498075547218323,2222,15.502659797668457
276,2016-02-05,104726.58985996246,72233.64146137238,0.3498075547218323,2222,14.623289108276367
277,2016-02-08,103415.44423389435,72233.64146137238,0.3498075547218323,2222,14.033214569091797
278,2016-02-09,103374.63105487823,72233.64146137238,0.3498075547218323,2222,14.014846801757812
279,2016-02-10,103328.71093082428,72233.64146137238,0.3498075547218323,2222,13.994180679321289
280,2016-02-11,102191.02767276764,72233.64146137238,0.3498075547218323,2222,13.482172012329102
281,2016-02-12,103971.52697658539,72233.64146137238,0.3498075547218323,2222,14.283476829528809
282,2016-02-16,105547.9688615799,72233.64146137238,0.3498075547218323,2222,14.99294662475586
283,2016-02-17,107185.6326341629,72233.64146137238,0.3498075547218323,2222,15.729969024658203
284,2016-02-18,106746.8718881607,72233.64146137238,0.3498075547218323,2222,15.532506942749023
285,2016-02-19,106741.77130031586,72233.64146137238,0.3498075547218323,2222,15.530211448669434
286,2016-02-22,108185.57247257233,72233.64146137238,0.3498075547218323,2222,16.17998695373535
287,2016-02-23,106899.92766666412,72233.64146137238,0.3498075547218323,2222,15.601388931274414
288,2016-02-24,107318.26910877228,72233.64146137238,0.3498075547218323,2222,15.789661407470703
289,2016-02-25,108573.30614948273,72233.64146137238,0.3498075547218323,2222,16.35448455810547
290,2016-02-26,108348.81671237946,72233.64146137238,0.3498075547218323,2222,16.253454208374023
291,2016-02-29,107379.49311542511,72233.64146137238,0.3498075547218323,2222,15.817214965820312
292,2016-03-01,109996.6774225235,72233.64146137238,0.3498075547218323,2222,16.995065689086914
293,2016-03-02,110481.34557819366,72233.64146137238,0.3498075547218323,2222,17.21318817138672
294,2016-03-03,110914.9909029007,72233.64146137238,0.3498075547218323,2222,17.408348083496094
295,2016-03-04,111302.72034168243,72233.64146137238,0.3498075547218323,2222,17.582843780517578
296,2016-03-07,111379.25670719147,72233.64146137238,0.3498075547218323,2222,17.61728858947754
297,2016-03-08,110078.29954242706,72233.64146137238,0.3498075547218323,2222,17.03179931640625
